treeID,species,plotID,dbh
11,QURU,C,22.8
12,QURU,C,5.7
13,QURU,C,40.5
14,QURU,C,15.6
15,QURU,C,8.7
16,QURU,D,23.5
17,QURU,D,36.3
18,QURU,D,37.6
19,QURU,D,39.3
20,QURU,D,33.7
