"treeID" "species" "plotID" "dbh"
"1" 1 "QURU" "A" 24.4
"2" 2 "QURU" "A" 18.4
"3" 3 "QURU" "A" 31.7
"4" 4 "QURU" "A" 34
"5" 5 "QURU" "A" 38
"6" 6 "QURU" "B" 30.5
"7" 7 "QURU" "B" 46.4
"8" 8 "QURU" "B" 43.8
"9" 9 "QURU" "B" 46.2
"10" 10 "QURU" "B" 39.5
"11" 11 "QURU" "C" 22.8
"12" 12 "QURU" "C" 5.7
"13" 13 "QURU" "C" 40.5
"14" 14 "QURU" "C" 15.6
"15" 15 "QURU" "C" 8.7
"16" 16 "QURU" "D" 23.5
"17" 17 "QURU" "D" 36.3
"18" 18 "QURU" "D" 37.6
"19" 19 "QURU" "D" 39.3
"20" 20 "QURU" "D" 33.7
