ddg.num	ddg.from	ddg.to
1	p5	d1
2	p8	d2
3	p9	d3
4	p10	d4
5	p11	d5
6	d5	p14
7	d5	p17
8	d5	p18
9	d5	p21
10	p22	d6
11	p23	d7
12	d7	p24
13	d7	p27
14	p30	d8
15	p31	d9
16	p32	d10
17	d10	p35
18	d10	p38
19	d10	p39
20	p39	d11
21	d10	p40
22	d10	p41
23	d11	p41
24	p44	d12
25	d12	p45
26	p45	d13
27	d13	p48
28	p51	d14
29	p52	d15
30	d15	p53
31	p53	d16
32	d16	p54
33	d16	p55
34	p55	d17
35	p56	d18
36	d18	p57
37	d19	p57
38	p59	d21
